"Geschäftsnummer","Ausstellungsdatum","Bestimmungs-/Lieferland","Position / Güterart","Position / EKN","Position / Wert [CHF]"
8000002,07.02.2014,"China, Volksrepublik","Dual Use Güter","2B120",1950000
8000004,11.02.2014,"Russische Föderation","Dual Use Güter","6A002.c1",2098305
8000009,14.02.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b1
2B201.a1",209609
8000012,14.02.2014,"Slowenien","Besondere militärische Güter","ML15",128000
8000010,14.02.2014,"Hongkong","Dual Use Güter","6A002.c1",43188
8000013,17.02.2014,"Singapur","Dual Use Güter","2B350.d3",94988.4
8000016,18.02.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.B2
2B201.A1",365990
8000015,21.02.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",270576
8000026,25.02.2014,"Tunesien","Besondere militärische Güter","ML10.f",13200
8000024,27.02.2014,"Deutschland","Besondere militärische Güter","ML10.c2",3740
8000025,27.02.2014,"Indien","Besondere militärische Güter","ML10.c2",24200
8000025,27.02.2014,"Indien","Besondere militärische Güter","ML10.c2",181500
8000025,27.02.2014,"Indien","Besondere militärische Güter","ML10.c2",296680
8000031,03.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a",232528
8000028,04.03.2014,"Malta","National kontrollierte Güter","5.1",1575
8000029,04.03.2014,"Hongkong","National kontrollierte Güter","5.1",9120
8000033,04.03.2014,"Thailand","Dual Use Güter","6A002.a2a",120000
8000034,04.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",227801
8000035,05.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",121241
8000037,06.03.2014,"Singapur","Dual Use Güter
Dual Use Güter","2B001.a1
2B001.a2",88796.8
8000040,07.03.2014,"China, Volksrepublik","Dual Use Güter","2B001.b2",232193
8000041,10.03.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",377760
8000042,10.03.2014,"Indien","Dual Use Güter
Dual Use Güter","2B001.B2
2B201.a",360282
8000044,10.03.2014,"Hongkong","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",357983
8000045,10.03.2014,"China, Volksrepublik","Dual Use Güter
Dual Use Güter","2B001.b2
2B201.a1",349735
