"Geschäftsnummer","Bewilligungsdatum","Endverbraucherland","AG (GKV)","MTCR (GKV)","NSGI (GKV)","NSGII (GKV)","WA (GKV)","ML (GKV)","Anhang 5.1","Anhang 5.2","Anhang 5.3","ChKV","Wert"
11738,01/04/2012,"China",,,,"2B201b","2B001c",,,,,,492552
11746,01/04/2012,"China",,,,"2B201a1","2B001b2",,,,,,341164
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,7616
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,6241
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,1174
11747,01/04/2012,"Thailand",,,,,,,5.1,,,,2156
11748,01/04/2012,"Türkei",,,,,,"18a",,,,,150900
11693,01/05/2012,"Kenia",,,,,"5A001f",,,,,,159700
11710,01/05/2012,"Indien","1C350.43",,,,,,,,,,18752
11749,01/05/2012,"Taiwan, Provinz von China","2B350g2",,,,,,,,,,24000
11750,01/05/2012,"Indien",,,,"2B201a1","2B001b2",,,,,,370296
11751,01/05/2012,"Serbien",,,,"2B201a",,,,,,,7200
11752,01/05/2012,"Indien",,,,,,"4c",,,,,6037
11753,01/05/2012,"Rumänien",,,,,"2B001d",,,,,,7830
11755,01/06/2012,"China",,,,"2B201a1",,,,,,,215987
11756,01/06/2012,"China",,,,"2B201a1",,,,,,,234736
11757,01/06/2012,"Brasilien",,,,"2B231",,,,,,,69900
11758,01/06/2012,"Brasilien",,,,"2B231",,,,,,,139800
11759,01/06/2012,"Slowenien",,,,,"2B001a",,,,,,231815
11760,01/09/2012,"Marokko",,,,,,,,5.2,,,420000
11761,01/09/2012,"China",,,,,"7B003a",,,,,,2145000
11762,01/09/2012,"Hong Kong",,,,,"3A001a2c",,,,,,36580
11763,01/09/2012,"China",,,,,"3A001a2c",,,,,,5800
11764,01/09/2012,"China",,,,"2B201b1",,,,,,,653000
11765,01/09/2012,"China",,,,"2B201b1","2B001c",,,,,,731500
11766,01/10/2012,"Russische Föderation",,,,,,"1a",,,,,5430
11767,01/10/2012,"Russische Föderation",,,,,,"1a",,,,,5055
11768,01/10/2012,"Russische Föderation",,,,,,"1a",,,,,6738
11769,01/10/2012,"Saudi-Arabien",,,,,"6A002c1",,,,,,23200
11770,01/10/2012,"Hong Kong",,,,,"3A001a2c",,,,,,7800
11771,01/11/2012,"Russische Föderation",,,,"2B201a1",,,,,,,251762
11772,01/11/2012,"China",,,,,"3A001a5a3",,,,,,8010
11773,01/11/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,599180
11774,01/12/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,3080716
11775,01/12/2012,"Russische Föderation",,,,"2B201a","2B001b",,,,,,2160000
11776,01/12/2012,"Russische Föderation",,,,"2B201a","2B001b1",,,,,,451493
11777,01/12/2012,"Russische Föderation",,,,"2B201a1","2B001b2",,,,,,451493
11778,01/12/2012,"China",,,,,"3A001a2c",,,,,,8200
11779,01/12/2012,"Thailand",,,,,,11,,,,,54500
11780,01/12/2012,"Hong Kong",,,,,"3A001a2c",,,,,,414000
11781,01/12/2012,"Hong Kong",,,,,"3A001a2c",,,,,,165600
11782,01/12/2012,"Vereinigte Staaten",,,,,,,5.1,,,,46000
11783,01/13/2012,"China",,"7A103a",,,,,,,,,151596
11784,01/13/2012,"Indien",,,,,"3A002g2",,,,,,50244
11785,01/13/2012,"Ungarn",,,,,,16,,,,,4000
11786,01/13/2012,"Marokko",,"7A103a",,,,,,,,,151596
11787,01/13/2012,"Marokko",,"7A103a",,,,,,,,,151596
11788,01/16/2012,"Israel",,,,,"3A001a10c",,,,,,8682
11789,01/16/2012,"China","2B350d4",,,,,,,,,,63720
11790,01/16/2012,"Israel",,,,,"7A002a+b",,,,,,25672
11791,01/16/2012,"Pakistan (CA)",,,,,,,,,,,1608000
11793,01/16/2012,"Iran, Islamische Republik (SG)",,,,,,,,,,,10738
11794,01/16/2012,"Hong Kong",,,,,"3A001a2c",,,,,,202500
11795,01/17/2012,"Südafrika",,,,,"6A003b4",,,,,,13500
11796,01/17/2012,"Lettland",,,,"2B201a1","2B001b2",,,,,,374873
11797,01/17/2012,"China",,,,"2B201a1",,,,,,,227347
11798,01/17/2012,"China",,,,"2B201a1",,,,,,,170318
11799,01/17/2012,"China",,,,"2B201a1",,,,,,,202775
11800,01/17/2012,"China",,,,"2B201a1",,,,,,,149463
11801,01/17/2012,"Belarus",,,,"2B201b1",,,,,,,385486
11802,01/17/2012,"Belarus",,,,"2B201b1",,,,,,,603045
11803,01/17/2012,"China",,,,"2B201b1",,,,,,,660000
11804,01/17/2012,"Katar",,,,,1,,,,,,1200
11805,01/17/2012,"Indien",,,,,,,5.1,,,,477
11805,01/17/2012,"Indien",,,,,,,5.1,,,,169
11805,01/17/2012,"Indien",,,,,,,5.1,,,,450
