"","GN","UnterGN","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"1",8000002,1,2014-02-07,"China",1950000,"GKV","2B120","2","B","120","ELIC"
"2",8000004,1,2014-02-11,"Russland",2098305,"GKV","6A002.c1","6","A","002c1","ELIC"
"3",8000009,1,2014-02-14,"Singapur",209609,"GKV","2B001.b1|2B201.a1","2","B","001b1","ELIC"
"4",8000012,1,2014-02-14,"Slowenien",128000,"ML (GKV)","ML15","15","","","ELIC"
"5",8000010,1,2014-02-14,"Hong Kong",43188,"GKV","6A002.c1","6","A","002c1","ELIC"
"6",8000013,1,2014-02-17,"Singapur",94988.4,"GKV","2B350.d3","2","B","350d3","ELIC"
"7",8000016,1,2014-02-18,"China",365990,"GKV","2B001.B2|2B201.A1","2","B","001B2","ELIC"
"8",8000015,1,2014-02-21,"Singapur",270576,"GKV","2B001.b2|2B201.a1","2","B","001b2","ELIC"
"9",8000026,1,2014-02-25,"Tunesien",13200,"ML (GKV)","ML10.f","10","f","","ELIC"
"10",8000024,1,2014-02-27,"Deutschland",3740,"ML (GKV)","ML10.c2","10","c2","","ELIC"
"11",8000025,1,2014-02-27,"Indien",24200,"ML (GKV)","ML10.c2","10","c2","","ELIC"
"12",8000025,2,2014-02-27,"Indien",181500,"ML (GKV)","ML10.c2","10","c2","","ELIC"
"13",8000025,3,2014-02-27,"Indien",296680,"ML (GKV)","ML10.c2","10","c2","","ELIC"
"14",8000031,1,2014-03-03,"China",232528,"GKV","2B001.b2|2B201.a","2","B","001b2","ELIC"
"15",8000028,1,2014-03-04,"Malta",1575,"5.1","5.1","1","","","ELIC"
"16",8000029,1,2014-03-04,"Hong Kong",9120,"5.1","5.1","1","","","ELIC"
"17",8000033,1,2014-03-04,"Thailand",120000,"GKV","6A002.a2a","6","A","002a2a","ELIC"
"18",8000034,1,2014-03-04,"China",227801,"GKV","2B001.b2|2B201.a1","2","B","001b2","ELIC"
"19",8000035,1,2014-03-05,"China",121241,"GKV","2B001.a1|2B001.a2","2","B","001a1","ELIC"
"20",8000037,1,2014-03-06,"Singapur",88796.8,"GKV","2B001.a1|2B001.a2","2","B","001a1","ELIC"
"21",8000040,1,2014-03-07,"China",232193,"GKV","2B001.b2","2","B","001b2","ELIC"
"22",8000041,1,2014-03-10,"Indien",377760,"GKV","2B001.b2|2B201.a1","2","B","001b2","ELIC"
"23",8000042,1,2014-03-10,"Indien",360282,"GKV","2B001.B2|2B201.a","2","B","001B2","ELIC"
"24",8000044,1,2014-03-10,"Hong Kong",357983,"GKV","2B001.b2|2B201.a1","2","B","001b2","ELIC"
