"Datum","Land","Wert","Verzeichnis","Haupttyp"
"2014-02-07","China",1950000,"GKV","2"
"2014-02-11","Russland",2098305,"GKV","6"
"2014-02-14","Singapur",209609,"GKV","2"
"2014-02-14","Slowenien",128000,"ML (GKV)","15"
"2014-02-14","Hong Kong",43188,"GKV","6"
"2014-02-17","Singapur",94988.4,"GKV","2"
"2014-02-18","China",365990,"GKV","2"
"2014-02-21","Singapur",270576,"GKV","2"
"2014-02-25","Tunesien",13200,"ML (GKV)","10"
"2014-02-27","Deutschland",3740,"ML (GKV)","10"
"2014-02-27","Indien",24200,"ML (GKV)","10"
"2014-02-27","Indien",181500,"ML (GKV)","10"
"2014-02-27","Indien",296680,"ML (GKV)","10"
"2014-03-03","China",232528,"GKV","2"
"2014-03-04","Malta",1575,"5.1","1"
"2014-03-04","Hong Kong",9120,"5.1","1"
"2014-03-04","Thailand",120000,"GKV","6"
"2014-03-04","China",227801,"GKV","2"
"2014-03-05","China",121241,"GKV","2"
"2014-03-06","Singapur",88796.8,"GKV","2"
"2014-03-07","China",232193,"GKV","2"
"2014-03-10","Indien",377760,"GKV","2"
"2014-03-10","Indien",360282,"GKV","2"
"2014-03-10","Hong Kong",357983,"GKV","2"
"2014-03-10","China",349735,"GKV","2"
"2014-03-13","USA",34515.38,"ML (GKV)","5"
"2014-03-14","China",203594,"GKV","2"
"2014-03-14","China",203594,"GKV","2"
"2014-03-19","China",322998,"GKV","2"
"2014-03-19","China",1992310,"GKV","2"
"2014-03-20","China",1288000,"GKV","2"
"2014-03-25","China",2612397,"GKV","2"
"2014-03-25","Thailand",6474,"5.1","1"
"2014-03-25","Thailand",3690,"5.1","1"
"2014-03-25","Vietnam",869962,"GKV","2"
"2014-03-25","China",339864,"GKV","2"
"2014-03-27","Südafrika",11143,"ML (GKV)","4"
"2014-03-27","Italien",43505.2,"ML (GKV)","4"
"2014-03-27","Italien",46360,"ML (GKV)","4"
"2014-03-28","Russland",313184,"GKV","7"
"2014-03-31","China",308562,"GKV","2"
"2014-04-01","Brasilien",304.24,"GKV","1"
"2014-04-01","Brasilien",304.24,"GKV","1"
"2014-04-01","Brasilien",304.24,"GKV","1"
"2014-04-01","Brasilien",304.24,"GKV","1"
"2014-04-02","Singapur",611620,"GKV","2"
"2014-04-02","Singapur",611620,"GKV","2"
